CreatedAt,Text,SentimentPct,Location,ImageUrl
03/01/2020 01:14:14,"@_michaelbrooks We’re focused like a laser, and we’re not gonna stop knock on doors until the last vote is cast here for the #CaliforniaPrimary 
The #BernieArmy is strong &amp; victory will be ours. #NotMeUs #Bernie2020 https://t.co/ZllIQY4JAR",0.17674746,"Los Angeles, CA",https://pbs.twimg.com/media/ER_G2MGUwAAUm2v.jpg
03/01/2020 01:06:53,@electroboyusa @LillianOrlando4 @MikeBloomberg @JoeBiden Yes! And we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   PS They shd all drop out! NOW.,0.004355036,"Brooklyn, NY",
03/01/2020 01:06:31,"#BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal  #PresidentSanders  #BernieSanders2020 #PresidentSanders  #SCprimary2020 #SCPrimary #SuperTuesday #BernieBeatsTrump #SouthCarolinaPrimary 
#SuperTuesday #CaliforniaPrimary #CAforBernie For https://t.co/03ESXVhTQr",0.74384254,,
03/01/2020 01:05:36,@peterdaou Ok we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   They shd all drop out! NOW.,0.0009931428,"Brooklyn, NY",
03/01/2020 01:03:20,@Canadiancentri2 He’s totally the guy! And we need to unite behind #Biden2020 NOW. Cause we can plainly see #Bernie2020 will lose. So don’t waste ANY votes on #Bloomberg #Buttigieg #Klobuchar etc folks! Looking at you #CaliforniaPrimary #TexasPrimary etc!!!   They shd all drop out! NOW.,0.00730086,"Brooklyn, NY",
03/01/2020 00:20:46,I am concerned early voting wasn't a friend to @JoeBiden here in #California. It seems most are wanting #BernieSanders to win. I hope Joe gets 15% and some delegates out of #CaliforniaPrimary. California is shifting a little too far to the left for me.,0.005608345,"Cathedral City, CA",
03/01/2020 00:18:41,#SouthCarolinaPrimary #SCprimary2020 congratulations #JoeBiden. JB can help #downballot get Dems independents &amp; #nevertrump #gop. Biden can get to work on day 1. Who in #CaliforniaPrimary will endorse Joe to #dumptrump. Sorry but #berniesanders cannot win Nov #ElectoralCollege,0.6394021,,
03/01/2020 00:08:06,"Huge group out knocking doors in California!   Just three more days to get your votes in! 

#NotMeUs #Bernie2020 #CaliforniaPrimary https://t.co/Al143JhzUz",0.097932465,"Los Angeles, CA",https://pbs.twimg.com/media/ER-3teLU4AAlkfd.jpg
02/29/2020 23:55:16,#MSNBC are having a #Biden orgasm despite the fact that a win in #SouthCarolinaPrimary doesn't change #BernieSanders status as front runner with a double digit lead in #CaliforniaPrimary,0.09520343,"Newcastle, New South Wales",
02/29/2020 23:54:21,"#SouthCarolina #SouthCarolinaPrimary
#NorthCarolina #NorthCarolinaPrimary
#Texas #TexasPrimary
#California #CaliforniaPrimary

#CollegeForALL #MedicareForALL #HousingForALL #FightFor15 #GreenNewDeal

#NotMeUs #BlackLivesMatter #ADOS #PoorPeoplesCampaign #BernieSanders https://t.co/1v2MQmXGTa",0.17126286,,
02/29/2020 23:44:52,Just door knocked 3.5 hours in Los Angeles. What a fabulous way to spend my Saturday morning! #BernieBruh #BernieSanders2020 #NotMeUs #SuperTuesday #CaliforniaPrimary #LosAngeles https://t.co/1rKhiZvWmL,0.0051869024,Los Angeles,https://pbs.twimg.com/media/ER-yZI-UcAo_Yj8.jpg
02/29/2020 23:43:03,"#SouthCarolina #SouthCarolinaPrimary
#NorthCarolina #NorthCarolinaPrimary
#Texas #TexasPrimary #California #CaliforniaPrimary

#MedicareForALL #CollegeForALL #HousingForALL #FightFor15 #GreenNewDeal

#NotMeUs #BlackLivesMatter #ADOS #PoorPeoplesCampaign #BernieSanders https://t.co/yfCIVT2YVv",0.18560578,,
02/29/2020 22:57:39,#SuperTuesday #CaliforniaPrimary #CaliforniaForBernie #NotMeUs #BernieSanders2020 https://t.co/CD0WZDboI2,0.6345377,"Pittsburgh, PA",
02/29/2020 22:49:34,#SouthCarolinaPrimary #NotMeUs #BernieSanders #BernieSanders2020 #SuperTuesday #TexasPrimary #CaliforniaPrimary https://t.co/XZbYAZqAmr,0.8233664,,
02/29/2020 22:28:13,Jonathan Abboud got endorsed by Bernie Sanders! #TeamAbboud @imallabboudit #BernieSanders2020 #FeelTheBern #NotMeUs @BernieSanders #SantaBarbara #Ventura @ucsantabarbara #Elections2020 #CaliforniaPrimary https://t.co/Xo94k4twZ0,0.7695936,United States,https://pbs.twimg.com/media/ER-g2qaUcAAlxQO.jpg
02/29/2020 21:55:26,#Bernie2020 #CaliforniaPrimary #CAforBernie #TeachersSupportBernie https://t.co/sR1RwlCZRB,0.8052027,"Los Angeles, CA",https://pbs.twimg.com/media/ER-ZWSJU4AEl-XK.jpg
02/29/2020 21:10:09,"🚨 Important thread for #CaliforniaPrimary #Bernie2020 independent voters!!! 

Do. Not. Write. Bernie. In. 

➡️ Request a Democratic crossover ballot to vote for Bernie! 🚨 

At this point, go to an early voting center or your polling place! 

https://t.co/5UOfOxA0KC https://t.co/cX75CCCzo8",0.04846492,"San Francisco, CA",
02/29/2020 21:00:58,#Bernie2020 #CaliforniaPrimary https://t.co/jes9pbiXFR,0.91684943,,https://pbs.twimg.com/ext_tw_video_thumb/1233859684873801728/pu/img/Yzy9LjS2DpNyULJh.jpg
02/29/2020 20:44:10,"@dharmabum007 ""I am very proud of being Jewish and I look forward to being the first Jewish president in the history of this country."" @BernieSanders #Bernie2020 #California #CaliforniaPrimary",0.069931015,"Silver Spring, MD, ",
02/29/2020 20:40:27,#CaliforniaPrimary #Bernie2020 #Bernie Just cast my ballot! Let’s do this! https://t.co/pZKlzvKkGd,0.123060346,"Los Angeles, CA",https://pbs.twimg.com/media/ER-IL7IU8AAaAJD.jpg
02/29/2020 20:31:22,"Made some friends while canvassing for #Bernie2020 in Humboldt County, California #2020election #CaliforniaPrimary https://t.co/taxywUbjdz",0.9942071,Estados Unidos,https://pbs.twimg.com/media/ER-GHB2UUAA8JOl.jpg
02/29/2020 20:12:20,Never made an easier decision in my life #CaliforniaPrimary #FeelTheBern #NotMeUs https://t.co/ZcaaBtUKhu,0.74849856,,https://pbs.twimg.com/media/ER-BwGHUUAAKRqT.jpg
02/29/2020 20:05:15,"#CALIFORNIA #BERNIE VOTERS HEADS UP! 

If you mailed in your ballot, please double-check that it was accepted!
https://t.co/T7JEY1Jbje

PLEASE SHARE! #SuperTuesday #Bernie2020 #CaliforniaPrimary https://t.co/qmwEeAcDQp",0.14119034,Silicon Valley,https://pbs.twimg.com/ext_tw_video_thumb/1233820913369403392/pu/img/IWWs-stWzjF_KQ1B.jpg
02/29/2020 20:05:04,#Bernie2020 #CaliforniaPrimary https://t.co/cCzFcQGgA9,0.91684943,"California, USA",https://pbs.twimg.com/media/ER-AF31U8AA2-Y1.jpg
02/29/2020 19:59:38,#Bernie2020 #CaliforniaPrimary #CaliforniaForBernie Bernie will crush it in Cali. https://t.co/0vbabw3aJz,0.7767975,"Phoenix, AZ",
02/29/2020 19:57:31,#BernieWon #BernieWillWin #Bernie2020  #NotMeUs #MedicareForAll #Medicare4All #GreenNewDeal   #SCforBernie #BernieSanders2020  #SouthCarolinaForBernie #SCprimary2020 #SCPrimary #CAforBernie #BernieBeatsTrump #SouthCarolinaPrimary #CaliforniaPrimary #TexasPrimary #TEXAS https://t.co/c1ek1nPv6o,0.8355442,,
02/29/2020 19:56:53,"Bernie Sanders holds 2-1 lead in California, poll shows  https://t.co/hrXQEThocg #Dontpanic #CDCwonttestme #Election2020 #DemocraticPrimary #CaliforniaPrimary #BernieSanders #Bernie2020  #BernieSanders2020 #DNC #delegates",0.83310884,,
02/29/2020 19:25:05,"#CaliforniaPrimary #CAPRimary #Primary #California is TUESDAY, #SUPERTUESDAY, March 3rd.
If you register as 'NPP' you must request a democratic ballot.
https://t.co/jvChQgIdP3
#BernieSanders2020 #berniebro #BerniesAmerica #BernieBeatsTrump #BernieSanders #Sanders #sanders2020 https://t.co/yCfqk8uEQT",0.97882986,"Oregon, USA",https://pbs.twimg.com/media/ER928HVXYAYtpAQ.jpg
02/29/2020 19:21:52,Feeling the BERNNNNN. Early voting Cali!!! #Bernie2020 #BernieOrBust #CaliforniaPrimary #EarlyVoting https://t.co/7o4xV8vzNa,0.53655845,,https://pbs.twimg.com/media/ER92MwjUEAAm7Nm.jpg
02/29/2020 18:53:31,"#SouthCarolina #SouthCarolinaPrimary
#NorthCarolina #NorthCarolinaPrimary
#Texas #TexasPrimary
#California #CaliforniaPrimary

#CollegeForALL #MedicareForALL #HousingForALL #FightFor15 #GreenNewDeal

#NotMeUs #BlackLivesMatter #PoorPeoplesCampaign #BernieSanders https://t.co/E2f2DhqMpG",0.19839203,,
02/29/2020 18:38:27,They legit had #BernieSanders dead ass last on the CA ballot. THEY CAN’T STOP US 🚀 #FeelTheBern @BernieSanders #CaliforniaPrimary #DemocraticPrimary https://t.co/V1319ATMOd,0.99457836,Los Angeles,https://pbs.twimg.com/ext_tw_video_thumb/1233823807212675072/pu/img/XiCEW2U0gwx46w4f.jpg
02/29/2020 18:27:07,"#CALIFORNIA #BERNIE VOTERS HEADS UP! 

If you mailed in your ballot, please double-check that it was accepted!
https://t.co/T7JEY1rzUE

PLEASE SHARE! #SuperTuesday #Bernie2020 #CaliforniaPrimary https://t.co/ivUCQirWuh",0.12337837,Silicon Valley,https://pbs.twimg.com/ext_tw_video_thumb/1233820913369403392/pu/img/IWWs-stWzjF_KQ1B.jpg
